Station,Time,Length,Cost
KQQW,1/4/14,:15,376.09
KQQW,1/23/14,:30,852.48
KQQW,8/21/14,:30,131.66
KQQW,4/3/14,:30,876.48
KQQW,6/9/14,:15,767.81
KQQW,3/4/15,:15,962.51
KQQW,8/3/14,:15,238.2
KQQW,8/30/14,:30,787.8
KQQW,6/5/14,:30,105.76
KQQW,9/21/14,:15,802.36
WUQL,2/14/15,:15,520.52
WUQL,2/27/14,:15,519.21
WUQL,1/27/15,:15,172.54
WUQL,2/9/14,:15,276.88
WUQL,4/23/15,:30,555.72
WLMW,9/29/14,:30,910.1
WLMW,12/26/14,:30,367.8
WLMW,9/5/14,:15,282.87
KMST,5/26/14,:15,592.78
KMST,12/9/14,:30,948.15
KMST,11/10/14,:15,138.1
KMST,7/8/14,:15,893.99
WUMC,2/26/15,:30,500
WUMC,7/13/14,:30,580.83
WUMC,10/8/14,:30,825.7
WUMC,8/29/14,:30,902.61
KBZQ,12/8/14,:30,190.95
KBZQ,8/22/14,:30,643.04
KBZQ,6/18/14,:15,958.98
KBZQ,9/9/14,:30,928.22
WWTY,12/31/14,:30,239.14
WWTY,1/20/14,:30,815.92
WDQT,8/30/14,:30,530.9
WDQT,4/13/15,:15,247.5
WDQT,4/8/15,:15,995.42
WDQT,8/5/14,:15,883.27
WAKP,4/24/15,:30,521.37
WAKP,4/12/14,:15,872.66
WAKP,4/23/14,:15,616.77
WAKP,10/2/14,:15,552.97
WAKP,12/24/14,:30,190.88
KJVC,6/12/14,:30,425.64
KJVC,2/13/15,:15,885.88
KJVC,6/9/14,:30,195.91
KJVC,6/1/14,:30,728.25
KPTB,7/27/14,:15,834.45
KPTB,2/19/14,:15,436.2
KPTB,9/2/14,:30,125.59
KPTB,8/2/14,:30,625.64
KWTQ,1/26/14,:30,627.84
KWTQ,8/10/14,:30,230.73
KWTQ,11/21/14,:15,233.8
KXAI,5/1/15,:15,687.38
KXAI,1/12/15,:15,818.95
KXAI,12/29/14,:15,695.99
KXAI,7/23/14,:15,137.41
KXAI,4/1/15,:30,497.24
WBCG,8/18/14,:15,180.67
KICL,11/7/14,:15,303.16
WGZF,5/14/14,:15,252.31
KHVU,12/25/14,:30,654.22
KHVU,4/16/14,:30,971.39
KHVU,4/28/14,:30,710.86
KHVU,1/15/15,:15,495.26
KHVU,2/24/14,:30,583.81
KRRZ,4/29/14,:30,257.57
KRRZ,8/11/14,:30,199.8
KRRZ,11/27/14,:15,265.07
KRRZ,7/30/14,:15,153.95
KRRZ,5/14/14,:15,105.33
KRRZ,3/20/14,:15,716.17
KANP,4/27/14,:30,455.76
KANP,4/8/14,:15,792.92
KANP,4/29/15,:30,442.69
KANP,4/6/14,:30,607.03
WSLQ,11/10/14,:15,836.25
WSLQ,3/7/15,:15,744.21
WSLQ,4/13/14,:30,525.06
KORY,3/20/14,:30,198.88
KDLO,3/4/15,:15,171.04
KDLO,10/24/14,:15,388.75
WZTH,4/2/15,:15,111.54
WAMA,1/12/14,:30,256.34
KRTU,9/14/14,:15,891.6
WYNA,11/12/14,:30,792.26
KEHX,2/21/14,:30,168.1
WEFK,6/16/14,:15,311.72
KRKW,8/28/14,:15,135.07
KPBD,7/21/14,:30,994.07
WLID,8/13/14,:30,829.46
KEUU,3/7/14,:30,546.88
KITT,9/23/14,:30,215.19
KEAJ,1/20/15,:15,287.52
WSKI,4/2/15,:30,319.11
KNWQ,3/29/15,:15,912.4
KYAL,12/7/14,:30,867.4
KAZB,4/11/15,:15,789.32
WXZW,2/7/15,:15,689.02
WNBG,3/8/14,:15,869.27
WELO,9/13/14,:30,957.72
WCEW,1/17/15,:30,727.94
