Number,Station
8009256650,KQQW
8001074445,WUQL
8009196917,WLMW
8002786469,KMST
8009880918,WUMC
8008519961,KBZQ
8007277863,WWTY
8007929658,WDQT
8008097570,WAKP
8001003659,KJVC
8005823913,KPTB
8008865631,KWTQ
8001961621,KXAI
8006816377,WBCG
8002324927,KICL
8009540625,WGZF
8008643993,KHVU
8005414537,KRRZ
8002455590,KANP
8001258480,WSLQ
8003514321,KORY
8003661331,KDLO
8009285013,KPWC
8006404614,WZTH
8003856258,WAMA
8002647957,KRTU
8004868772,WYNA
8005311707,KEHX
8001852156,WEFK
8007748108,KRKW
8004605818,KPBD
8002071805,WLID
8008621846,KEUU
8008342387,KITT
8008335685,KEAJ
8007590252,WSKI
8001862915,KNWQ
8008788539,KYAL
8008567471,KAZB
8004564735,WXZW
8004455001,WNBG
8002780879,WELO
8001449565,WCEW
