Station,Market
KQQW,CHICAGO
WUQL,CINCINNATI
WLMW,DETROIT
KMST,DENVER
WUMC,LOS ANGELES
KBZQ,ATLANTA
WWTY,COLUMBUS
WDQT,MINNEAPOLIS
WAKP,"LOS ANGELES, CA"
KJVC,INDIANAPOLIS
KPTB,"PORTLAND, OR"
KWTQ,ST. LOUIS
KXAI,MILWAUKEE
WBCG,MINNEAPOLIS-ST. PAUL
KICL,SEATTLE-TACOMA
WGZF,GRAND RAPIDS-KALAMAZOO-B.CREEK
KHVU,LOUISVILLE
KRRZ,LEXINGTON
KANP,KANSAS CITY
WSLQ,SEATTLE
KORY,"LOS ANGELES, CA"
KDLO,SAN DIEGO
KPWC,NASHVILLE
WZTH,HOUSTON
WAMA,SACRAMENTO-STOCKTON-MODESTO
KRTU,SACRAMENTO
WYNA,DETROIT
KEHX,CHICAGO
WEFK,"SAN FRANCISCO, CA"
KRKW,"SAN DIEGO, CA"
KPBD,FLINT-SAGINAW-BAY CITY
WLID,TAMPA-ST PETERSBURG (SARASOTA)
KEUU,"ATLANTA, GA"
KITT,FT. WAYNE
KEAJ,DALLAS-FT. WORTH
WSKI,CLEVELAND-AKRON (CANTON)
KNWQ,GREENVILLE-SPART-ASHEVLL-ANDER
KYAL,PHOENIX (PRESCOTT)
KAZB,OMAHA
WXZW,LANSING
WNBG,SOUTH BEND-ELKHART
WELO,CINCINNATI
WCEW,MIAMI-FT. LAUDERDALE
